iter	RMSE
0	0.8126208124
1	0.8078985371
2	0.8031038951
3	0.7984033361
4	0.7939003304
5	0.78949186
6	0.7849820181
7	0.7808718322
8	0.7761465438
9	0.7720025884
10	0.7676925483
11	0.7637812
12	0.7601380148
13	0.7562001693
14	0.7525609732
15	0.748810666
16	0.745323222
17	0.7418806845
18	0.738151748
19	0.7348854065
20	0.7312778733
21	0.7283514623
22	0.7247499935
23	0.7218004804
24	0.7186646209
25	0.7155539777
26	0.7126053949
27	0.7095691603
28	0.7069781916
29	0.703974996
30	0.7010123916
31	0.6983159782
32	0.695666625
33	0.6928674944
34	0.6901267129
35	0.6875037979
36	0.6849330067
37	0.6825354382
38	0.6806855388
39	0.6785982903
40	0.6764254857
41	0.674237041
42	0.6720005413
43	0.6697383578
44	0.6674858055
45	0.6656596643
46	0.6635884529
47	0.6616050411
48	0.6595706013
49	0.6578288967
50	0.6560643609
51	0.6541007825
52	0.6521049401
53	0.6502272805
54	0.6480264501
55	0.6460396169
56	0.6446078249
57	0.6426065683
58	0.6406862338
59	0.6391087209
60	0.6372794079
61	0.6355365608
62	0.6338499344
63	0.6321750077
64	0.6305888698
65	0.6289784476
66	0.6274044668
67	0.626325651
68	0.6252596245
69	0.6237945394
70	0.6222914129
71	0.6209562541
72	0.6193003156
73	0.6181686346
74	0.616918762
75	0.6153455921
76	0.6140952767
77	0.6125946717
78	0.6113430429
79	0.6099971064
80	0.6088401519
81	0.6074852636
82	0.6064345738
83	0.6052892776
84	0.6039595482
85	0.6029479013
86	0.6015753384
87	0.6003648645
88	0.5988889612
89	0.5978543661
90	0.596689916
91	0.5954663651
92	0.5944959929
93	0.5936464984
94	0.592736789
95	0.5915387843
96	0.590391161
97	0.5894783439
98	0.5885590249
99	0.5871670627
100	0.5859834516
101	0.5850543319
102	0.5839520707
103	0.5827858423
104	0.5817361115
105	0.5808881879
106	0.580126139
107	0.5793851582
108	0.5786523988
109	0.5777157937
110	0.5769120844
111	0.5758340459
112	0.5749237139
113	0.5740118258
114	0.5733149333
115	0.5724966799
116	0.5712714606
117	0.5706373922
118	0.5699451622
119	0.5692282081
120	0.5684142512
121	0.5676959061
122	0.5669530189
123	0.5661293924
124	0.5650926808
125	0.5642443172
126	0.563386011
127	0.5624791954
128	0.5620633462
129	0.5614125532
130	0.5607645404
131	0.560100926
132	0.5593939113
133	0.5586507064
134	0.5580473907
135	0.5576499204
136	0.5570015193
137	0.5562754097
138	0.555792121
139	0.5551709656
140	0.5546736292
141	0.5540648493
142	0.5531135568
143	0.5522632776
144	0.5517436509
145	0.5510804214
146	0.5505358254
147	0.5496863481
148	0.548971478
149	0.5480619756
150	0.547508352
151	0.547037735
152	0.5462440823
153	0.5456710755
154	0.545526456
155	0.5449782332
156	0.5442476944
157	0.5438111521
158	0.5434314938
159	0.5427447643
160	0.5419972059
161	0.5414732922
162	0.5408507099
163	0.5404923505
164	0.5400476536
165	0.5397239706
166	0.5393550768
167	0.5391178692
168	0.5382970299
169	0.5377766725
170	0.5374038886
171	0.5368674826
172	0.5363109379
173	0.5360541145
174	0.5359471708
175	0.5354465697
176	0.5350350991
177	0.5344384886
178	0.5339630219
179	0.5333689692
180	0.532574029
181	0.5321480225
182	0.5317275309
183	0.5309042377
184	0.5303678018
185	0.530130478
186	0.5296542724
187	0.5291782913
188	0.5287176904
189	0.5280956502
190	0.5276111476
191	0.5271268301
192	0.5264253867
193	0.5259914167
194	0.5258416898
195	0.5251474196
196	0.5248123137
197	0.5241892689
198	0.5238844323
199	0.5236391206
200	0.5233732838
201	0.5228133197
202	0.5224393673
203	0.5220154017
204	0.5216898972
205	0.5210186362
206	0.520700588
207	0.520018258
208	0.5194342088
209	0.5191120449
210	0.5185570206
211	0.5180508466
212	0.5176696071
213	0.5172103017
214	0.5168949061
215	0.5164484334
216	0.5161948983
217	0.5159449788
218	0.515447768
219	0.515314543
220	0.5152822429
221	0.5149464029
222	0.5147874307
223	0.5144352461
224	0.51376719
225	0.5135728159
226	0.5134362056
227	0.5131996978
228	0.5127880511
229	0.5121703326
230	0.5118235056
231	0.5115534958
232	0.5113685638
233	0.5110401715
234	0.5105037971
235	0.510102393
236	0.5097232108
237	0.5092250661
238	0.5089399301
239	0.5087375987
240	0.5083553865
241	0.5077738262
242	0.5076431231
243	0.5073273729
244	0.5069074516
245	0.5065713485
246	0.5063654711
247	0.5060094637
248	0.5056856702
249	0.5052625324
250	0.5048733658
251	0.5045183295
252	0.5043164109
253	0.5038311525
254	0.5033118461
255	0.5031014137
256	0.5022997478
257	0.5020116071
258	0.5014536908
259	0.5013191802
260	0.5008573982
261	0.5005068901
262	0.5000229815
263	0.4994729665
264	0.4994168184
265	0.4992352191
266	0.4985740077
267	0.4981998144
268	0.4979279523
269	0.4977460663
270	0.4977303879
271	0.4973098331
272	0.4968147041
273	0.4963279787
274	0.4960497555
275	0.4957190481
276	0.4955574922
277	0.4954466917
278	0.4953078502
279	0.4949882444
280	0.4944897522
281	0.4941521858
282	0.4936846072
283	0.493002977
284	0.4928093823
285	0.4924084475
286	0.4921546956
287	0.4919671704
